Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Title Text Segments 11,Video Title Text Segments 12,Video Title Text Segments 13,Video Title Text Segments 14,Video Text Update Timestamp
_F9zc_o9iMs,2025-06-28T10:25:24.97118+00:00,,,,,,,,,,Obligatory Images & Bandaids on Gaping Wounds,,,,,,,,,,,,,,2025-06-28T10:25:24.97118+00:00
zZoVcxgJUJY,2025-06-29T22:15:55.033703+00:00,,,,,,,,,,Street Smarts with TravelinTrav: How to know a true follower of Christ,,,,,,,,,,,,,,2025-06-29T22:15:55.033703+00:00
uB5mA1nbuw4,2025-06-29T22:17:19.183249+00:00,,,,,,,,,,Cancel TravelinTrav,,,,,,,,,,,,,,2025-06-29T22:17:19.183249+00:00
QPXxNdpyfhY,2025-06-30T12:17:52.915078+00:00,,,,,,,,,,Do you know why the caged bird sings?,,,,,,,,,,,,,,2025-06-30T12:17:52.915078+00:00
po635Rra70c,2025-07-01T23:40:40.818139+00:00,,,,,,,,,,Moral Foundations Theory,,,,,,,,,,,,,,2025-07-01T23:40:40.818139+00:00
bo6PdvUA33U,2025-07-02T01:14:17.782795+00:00,,,,,,,,,,A Testimony,,,,,,,,,,,,,,2025-07-02T01:14:17.782795+00:00
OhnrS2uZ_P4,2025-07-02T01:15:10.623897+00:00,,,,,,,,,,12 Step Wisdom,,,,,,,,,,,,,,2025-07-02T01:15:10.623897+00:00
Fq1-gCUxuOk,2025-07-02T18:45:21.22601+00:00,,,,,,,,,,"Red Church, Blue Church, I Church, You Church",,,,,,,,,,,,,,2025-07-02T18:45:21.22601+00:00
rtpZC8VYrgQ,2025-07-05T21:08:55.752796+00:00,,,,,,,,,,Living With Illness,,,,,,,,,,,,,,2025-07-05T21:08:55.752796+00:00
AlUERzffOyc,2025-07-05T21:10:46.25845+00:00,,,,,,,,,,Another Non-Binary Teaching,,,,,,,,,,,,,,2025-07-05T21:10:46.25845+00:00
CpiierxQeM4,2025-07-05T21:11:37.415788+00:00,,,,,,,,,,Content Creator,,,,,,,,,,,,,,2025-07-05T21:11:37.415788+00:00
Fi7b5fLv_X4,2025-07-05T21:12:56.205527+00:00,,,,,,,,,,"Lover of the Word: Inside Stone, The Dogfish Song, & The Gospel Truth",,,,,,,,,,,,,,2025-07-05T21:12:56.205527+00:00
q6ui84iogtc,2025-07-05T21:13:52.957099+00:00,,,,,,,,,,"Part 3: Red Church, Blue Church, I Church, You Church",,,,,,,,,,,,,,2025-07-05T21:13:52.957099+00:00
Yu-sAwnPqLU,2025-07-05T21:15:13.728+00:00,,,,,,,,,,"Part 2: Red Church, Blue Church, I Church, You Church",,,,,,,,,,,,,,2025-07-05T21:15:13.728+00:00
PKKqTzBcEBs,2025-07-05T21:16:16.980734+00:00,,,,,,,,,,"Part 1: Red Church, Blue Church, I Church, You Church",,,,,,,,,,,,,,2025-07-05T21:16:16.980734+00:00
XHhbMGuK3WU,2025-07-06T05:44:55.149885+00:00,,,,,,,,,,Forgiveness: The Keys to God’s Kingdom,,,,,,,,,,,,,,2025-07-06T05:44:55.149885+00:00
j8SniHDtAqI,2025-07-07T17:08:50.304201+00:00,,,,,,,,,,Gospel for Seekers,,,,,,,,,,,,,,2025-07-07T17:08:50.304201+00:00
XRmXWulefRg,2025-07-07T17:10:34.445486+00:00,,,,,,,,,,Full Spectrum Trav Visits a Priest,,,,,,,,,,,,,,2025-07-07T17:10:34.445486+00:00
md3HE3ipMA8,2025-07-07T17:11:47.715661+00:00,,,,,,,,,,Full Spectrum Trav: Bringing Value,,,,,,,,,,,,,,2025-07-07T17:11:47.715661+00:00
l379ZJ9BVbA,2025-07-07T17:19:36.958268+00:00,,,,,,,,,,Christ Testimony,,,,,,,,,,,,,,2025-07-07T17:19:36.958268+00:00
6A67XPCxK70,2025-07-10T14:47:22.571849+00:00,,,,,,,,,,Phillipians 2: 10-11,,,,,,,,,,,,,,2025-07-10T14:47:22.571849+00:00
IhwTcjYUlvA,2025-07-10T14:49:16.003929+00:00,,,,,,,,,,Un-Friended,,,,,,,,,,,,,,2025-07-10T14:49:16.003929+00:00
1pCTz128alM,2025-07-11T13:22:51.46644+00:00,,,,,,,,,,Jesus Wept,,,,,,,,,,,,,,2025-07-11T13:22:51.46644+00:00
MYLONiwLq_I,2025-07-11T17:04:37.621386+00:00,,,,,,,,,,"July 11, 2025",,,,,,,,,,,,,,2025-07-11T17:04:37.621386+00:00
p3wNfkoFb9o,2025-07-12T09:04:35.775244+00:00,,,,,,,,,,A Prayer Offering in the Name of Jesus,,,,,,,,,,,,,,2025-07-12T09:04:35.775244+00:00
bGKarqHcK2I,2025-07-12T13:54:54.998561+00:00,,,,,,,,,,Matthew ,11:28,,,,,,,,,,,,,2025-07-12T13:54:54.998561+00:00
yQy_jTO07lE,2025-07-12T22:09:58.968693+00:00,,,,,,,,,,"So, You Call Yourself a Christian",,,,,,,,,,,,,,2025-07-12T22:09:58.968693+00:00
vOpQeAhaTQg,2025-07-13T01:15:49.025197+00:00,,,,,,,,,,"Why do we call him, “Son of God”?",,,,,,,,,,,,,,2025-07-13T04:08:22.65526+00:00
yHVisBCwZ_U,2025-07-13T02:41:41.565383+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-07-13T02:41:41.565383+00:00
xdcCL19R1es,2025-07-13T03:02:29.31748+00:00,,,,,,,,,,Escaping Toxic Situations: Giving Everything,,,,,,,,,,,,,,2025-07-13T03:02:29.31748+00:00
QYvSPqm_bng,2025-07-13T03:54:57.251429+00:00,,,,,,,,,,Monica & Nate Hagens: The Great Simplification,,,,,,,,,,,,,,2025-07-13T03:54:57.251429+00:00
oHUMcM1bh2Y,2025-07-14T02:47:52.830953+00:00,,,,,,,,,,Cancel TravelinTrav,,,,,,,,,,,,,,2025-07-14T02:47:52.830953+00:00
LJr2wNkt0_0,2025-07-14T03:13:55.154571+00:00,,,,,,,,,,God’s Word: A Miracle of Language,,,,,,,,,,,,,,2025-07-14T03:13:55.154571+00:00
lhhMCdDScwI,2025-07-14T04:15:01.856919+00:00,,,,,,,,,,Hitchin’ A Ride with TravelinTrav,,,,,,,,,,,,,,2025-07-14T04:15:01.856919+00:00
D76Ib1ftccc,2025-07-14T23:37:13.311893+00:00,,,,,,,,,,"John 1:11 He came to his own, but his own did not receive him",,,,,,,,,,,,,,2025-07-14T23:37:13.311893+00:00
m0a3MJUW2D4,2025-07-14T23:37:41.738842+00:00,,,,,,,,,,"Why the Bible, Trav",,,,,,,,,,,,,,2025-07-14T23:37:41.738842+00:00
J0ehypzKKXk,2025-07-15T17:04:55.159064+00:00,,,,,,,,,,Brothers Helping Brothers,,,,,,,,,,,,,,2025-07-15T17:04:55.159064+00:00
QuzSPKVmkzw,2025-07-16T09:37:42.006184+00:00,,,,,,,,,,Electric Travis Makes French Toast,,,,,,,,,,,,,,2025-07-16T09:37:42.006184+00:00
LIwuDfg842M,2025-07-18T04:47:08.973309+00:00,,,,,,,,,,Evangelism!,,,,,,,,,,,,,,2025-07-18T04:47:08.973309+00:00
u23Qqhl8hBA,2025-07-18T15:48:07.256022+00:00,,,,,,,,,,Holy One: I Will Sing Your Praises,,,,,,,,,,,,,,2025-07-18T15:48:07.256022+00:00
R9FkQNk1PK8,2025-07-20T11:14:05.271328+00:00,,,,,,,,,,TransRationalBlues: Praise God!,,,,,,,,,,,,,,2025-07-20T11:14:05.271328+00:00
dz8kAliYBpQ,2025-07-20T11:43:06.894338+00:00,,,,,,,,,,Stage Performance,,,,,,,,,,,,,,2025-07-20T11:43:06.894338+00:00
FN6kfQhjzl8,2025-07-22T07:32:00.924378+00:00,,,,,,,,,,Cancel For Breakfast: He Came To His Own,,,,,,,,,,,,,,2025-07-22T07:32:00.924378+00:00
LMB9gBm3Jxo,2025-07-22T16:57:39.871741+00:00,,,,,,,,,,People Say Things,,,,,,,,,,,,,,2025-07-22T16:57:39.871741+00:00
uUymEP9EKEk,2025-07-22T17:06:00.312157+00:00,,,,,,,,,,Gospel Language,,,,,,,,,,,,,,2025-07-22T17:06:00.312157+00:00
Yxt2HNy93nE,2025-07-22T17:07:27.449159+00:00,,,,,,,,,,TransRationalBlues: Fisher King,,,,,,,,,,,,,,2025-07-22T17:07:27.449159+00:00
w8fKUHs_SGQ,2025-07-22T17:12:08.952342+00:00,,,,,,,,,,Dear Grace: Carl Sagan,,,,,,,,,,,,,,2025-07-22T17:12:08.952342+00:00
M1Dt433PjJ4,2025-07-22T17:26:25.893557+00:00,,,,,,,,,,Ears For Holy Tomes,,,,,,,,,,,,,,2025-07-22T17:26:25.893557+00:00
lGufU0O9WUs,2025-07-22T17:31:57.45078+00:00,,,,,,,,,,"Part 4: Red Church, Blue Church, “i” church, “you” church",,,,,,,,,,,,,,2025-07-22T17:31:57.45078+00:00
ZcS9nuhBpvI,2025-07-22T17:32:38.106429+00:00,,,,,,,,,,Hitchin’ a Ride with TravelinTrav: Working with NPC’s,,,,,,,,,,,,,,2025-07-22T17:32:38.106429+00:00





